pa2 loose run time limits
cases,timeout,time(sec),rect counts,1st width,1st height,1st rect valid,1st dim valid,1st coord valid,all width,all height,all area,all rect valid,actual width,actual height,actual area,all dim valid,all coord valid,Used memory (bytes),Stack overflow,Memory leak,Memory error
3,0,0.06451,3,12,10,3,1,3,10,10,100,3,10,10,100,1,3,52080,0,129,1
8,0,0.06447,8,11,15,8,1,8,9,13,117,8,9,13,117,1,8,72160,0,129,1
10_1,0,0.06447,10,65,45,10,1,10,64,37,2368,10,64,37,2368,1,10,80192,0,129,1
100_3,0,0.06422,100,523,510,100,1,100,467,322,150374,100,467,322,150374,1,100,445632,0,513,1
200_3,0,0.06442,200,726,1501,200,1,200,649,917,595133,200,649,917,595133,1,200,988784,0,1025,1
500_5,0,0.06442,500,1832,4049,500,1,500,1584,2187,3464208,500,1584,2187,3464208,1,500,2964320,0,2049,1
1000_5,0,0.06432,1000,4123,7414,1000,1,1000,3558,3948,14046984,1000,3558,3948,14046984,1,1000,4371624,0,4097,1
2000_10,0,0.11463,2000,7596,13454,2000,1,2000,6215,6568,40820120,2000,6215,6568,40820120,1,2000,25432664,0,8193,1
4000_20,0,0.16457,4000,15925,28487,4000,1,4000,12473,13144,163945112,4000,12473,13144,163945112,1,4000,72582840,0,16385,1
8000_20,0,0.26474,8000,33073,52643,8000,1,8000,26097,24324,634783428,8000,26097,24324,634783428,1,8000,172364648,0,32769,1

pa2 tight run time limits
cases,timeout,time(sec),rect counts,1st width,1st height,1st rect valid,1st dim valid,1st coord valid,all width,all height,all area,all rect valid,actual width,actual height,actual area,all dim valid,all coord valid,Used memory (bytes),Stack overflow,Memory leak,Memory error
16000_50,0,0.5154,16000,62594,111369,16000,1,16000,48130,50337,2422719810,16000,48130,50337,2422719810,1,16000,434486184,0,65537,1
16000_100,1,-1,16000,10278,25279,16000,1,16000,7517,10468,78687956,16000,7517,10468,78687956,1,16000,-1,-1,-1,-1
32000_50,0,0.96675,32000,124946,215312,32000,1,32000,96188,97445,9373039660,32000,96188,97445,9373039660,1,32000,763355648,0,131073,1
32000_100,0,1.81877,32000,33103,36306,32000,1,32000,24064,15081,362909184,32000,24064,15081,362909184,1,32000,-1,valgrind not return within time limt,-1,-1
64000_50,0,1.61848,64000,248607,427746,64000,1,64000,191338,193519,37027538422,64000,191338,193519,37027538422,1,64000,1653973608,0,262145,1
64000_100,0,3.27325,64000,25114,99521,64000,1,64000,18240,41014,748095360,64000,18240,41014,748095360,1,64000,-1,valgrind not return within time limt,-1,-1
128000_50,0,-1,128000,505687,862628,128000,1,128000,0,0,0,-1,0,0,0,0,0,-1,1,-1,-1
128000_100,0,6.33134,128000,61684,100082,128000,1,128000,45026,41572,1871820872,128000,45026,41572,1871820872,1,128000,-1,valgrind not return within time limt,-1,-1
256000_50,0,5.5297,256000,51744,137509,256000,1,256000,39579,60913,2410875627,256000,39579,60913,2410875627,1,256000,5741243976,0,257,1
256000_100,0,12.64724,256000,95273,286216,256000,1,256000,69282,118632,8219062224,256000,69282,118632,8219062224,1,256000,-1,valgrind not return within time limt,-1,-1

